chart_week,current_week,title,performer,spotify_link
2022-11-05,5,Midnight Rain,Taylor Swift,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4
2022-11-12,1,Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
2022-11-12,2,Lift Me Up,Rihanna,https://open.spotify.com/track/35ovElsgyAtQwYPYnZJECg
2022-11-12,3,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-11-12,4,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-11-12,5,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-11-19,1,Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
2022-11-19,2,Rich Flex,Drake & 21 Savage,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
2022-11-19,3,Major Distribution,Drake & 21 Savage,https://open.spotify.com/track/46s57QULU02Voy0Kup6UEb
2022-11-19,4,On BS,Drake & 21 Savage,https://open.spotify.com/track/34tz0eDhGuFErIuW3q4mPX
2022-11-19,5,Spin Bout U,Drake & 21 Savage,https://open.spotify.com/track/2ZL7WZcjuYKi1KUDtp4kCC
2022-11-26,1,Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
2022-11-26,2,Rich Flex,Drake & 21 Savage,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
2022-11-26,3,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-11-26,4,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-11-26,5,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
